Lot Frontage	Lot Area	Neighborhood	Overall Qual	Overall Cond	Year Built	Total Bsmt SF	1st Flr SF	Gr Liv Area	Bedroom AbvGr	TotRms AbvGrd	Garage Area	SalePrice
56	4485	OldTown	5	7	1920	936	936	936	2	5	0	109500
56	8960	OldTown	5	6	1927	1008	1028	1028	2	5	360	115000
69	5805	OldTown	5	7	1957	1347	1347	1347	3	6	551	143000
60	5790	OldTown	3	6	1915	840	840	1605	3	8	379	107400
47	4608	OldTown	4	6	1945	747	747	747	2	4	220	80000
60	7200	OldTown	5	7	1940	788	804	804	2	4	240	119000
50	5500	OldTown	5	7	1929	926	926	1316	3	6	484	130000
50	6900	OldTown	6	7	1938	827	827	1251	3	6	240	119000
69	11851	OldTown	5	7	1948	1027	1027	1633	3	7	240	129000
	8239	OldTown	5	6	1920	1008	1060	1245	3	6	315	100000
68	9656	OldTown	2	2	1923	678	832	832	2	5	780	12789
60	8520	OldTown	6	8	1928	624	720	720	2	5	484	105900
60	9600	OldTown	8	9	1900	930	930	1566	3	7	288	150000
60	10800	OldTown	5	6	1915	686	966	1652	4	7	416	139000
50	9000	OldTown	8	9	1890	346	1157	2268	3	7	624	240000
100	9045	OldTown	5	3	1910	840	1128	2256	4	12	0	76500
90	7407	OldTown	6	7	1957	912	1236	1236	2	6	923	149700
60	7740	OldTown	4	7	1910	622	741	1363	3	6	528	125500
60	11340	OldTown	4	6	1885	777	1246	2290	4	11	560	122500
60	10560	OldTown	6	7	1922	738	868	1470	2	6	624	140750
53	5830	BrkSide	5	6	1950	988	1030	1612	3	7	363	128500
	7793	BrkSide	7	7	1922	1108	1160	2068	3	8	315	209500
50	5000	BrkSide	4	7	1925	765	765	765	2	4	200	87000
50	6000	BrkSide	6	7	1939	608	608	1132	2	5	240	134000
50	6000	BrkSide	6	6	1940	572	848	1196	3	6	576	128000
53	6360	BrkSide	5	6	1942	835	955	1453	3	7	240	132000
50	6000	BrkSide	6	7	1948	780	780	1416	3	6	312	139900
52	6240	BrkSide	5	7	1936	528	548	1040	2	5	624	123900
52	6240	BrkSide	5	5	1930	928	928	1536	4	7	480	138400
51	6120	OldTown	6	5	1923	1124	1068	1068	2	5	288	109500
50	10300	OldTown	7	6	1921	576	902	1710	3	9	480	140000
57	8094	OldTown	4	5	1915	888	888	1962	4	9	572	149500
60	12900	OldTown	6	8	1912	780	780	1560	3	7	0	159900
52	3068	OldTown	6	8	1920	662	662	1324	3	6	180	122000
110	8472	IDOTRR	5	5	1963	816	816	816	2	5	516	110000
70	5600	IDOTRR	4	5	1930	0	372	1092	3	7	0	55000
76	7630	OldTown	5	9	1900	360	1032	1812	4	8	672	140000
	24090	ClearCr	7	7	1940	1032	1207	2403	4	10	349	244400
100	15263	ClearCr	5	5	1959	1422	1675	1675	3	8	365	173000
72	10632	ClearCr	5	3	1917	689	725	1224	3	6	180	107500
60	9900	SWISU	5	4	1915	1212	1212	1392	3	6	0	100000
65	6001	SWISU	6	5	1940	600	600	919	3	5	231	95000
	6449	SWISU	4	1	1907	707	942	1884	4	7	0	93369
60	6048	SWISU	5	7	1910	856	936	1680	2	7	450	114900
54	6342	Sawyer	5	8	1875	780	780	1020	2	6	0	94000
72	10773	Sawyer	4	3	1967	1832	1832	1832	4	8	0	136000
72	10778	Sawyer	4	5	1968	1768	1768	1768	4	8	0	136500
75	11625	Sawyer	5	4	1965	1039	1039	1039	3	6	504	131500
	11341	Sawyer	5	6	1957	1392	1392	1392	3	5	528	121500
70	8521	Sawyer	5	5	1967	912	912	912	3	5	336	125000
	8246	Sawyer	5	8	1968	1060	1060	1060	3	6	270	154000
65	7800	Sawyer	5	7	1966	864	892	892	3	5	416	137900
80	9364	Sawyer	6	7	1969	663	663	1352	4	7	299	158000
65	7832	Sawyer	5	5	1968	864	864	864	2	4	280	137250
	7424	Sawyer	5	5	1978	1319	1373	1373	3	5	591	160250
86	11227	Sawyer	5	5	1968	720	720	1440	4	7	480	163000
	11616	Sawyer	6	5	1978	672	672	1386	3	6	440	158900
80	14000	ClearCr	7	5	1996	1306	1306	2260	3	7	533	328000
	20062	ClearCr	7	7	1977	1420	1483	1483	1	4	690	270000
94	9259	Sawyer	4	4	1927	660	756	756	2	4	440	85000
60	9600	Sawyer	4	7	1950	1067	1067	1067	2	4	436	128000
	23595	ClearCr	7	6	1979	1332	1332	1524	0	4	586	260000
	17082	ClearCr	6	5	1978	1117	1117	1981	4	8	522	230000
124	18600	Edwards	3	4	1938	972	1052	1610	4	8	480	124000
85	10625	Edwards	5	5	1920	458	835	835	2	5	366	83000
65	11479	Edwards	6	7	1950	663	1074	1074	3	6	467	144500
68	9571	Edwards	5	6	1956	1144	1144	1144	3	6	596	129000
50	9350	Edwards	4	6	1947	756	1169	1531	3	8	209	127000
75	9525	Edwards	5	7	1954	1172	1172	1172	3	5	366	128000
83	10420	Edwards	6	5	2009	1212	1212	1212	3	6	460	186000
44	17485	Edwards	7	5	2009	1508	1508	1508	1	5	572	308030
	11200	Edwards	5	3	1964	1250	1298	1298	3	5	504	114000
60	11100	Edwards	4	7	1946	0	930	930	2	6	308	84900
77	9206	SawyerW	6	5	1985	741	977	1732	3	7	476	178000
83	11980	SawyerW	7	5	1987	1433	1433	1433	1	4	528	270000
87	12361	SawyerW	6	7	1993	946	964	1802	3	8	1017	218000
80	9938	SawyerW	7	5	1993	1050	1062	1949	3	8	574	236000
73	9069	SawyerW	6	6	1992	936	996	996	2	5	564	147000
64	10475	CollgCr	8	5	2008	1694	1694	1694	3	7	776	245350
64	6762	CollgCr	7	5	2006	1187	1208	1208	2	6	632	206000
94	10402	CollgCr	7	5	2009	1226	1226	1226	3	6	740	198900
64	7360	CollgCr	7	5	2010	1222	1222	1222	2	6	615	187000
90	12376	SawyerW	7	5	1990	1673	1699	3222	5	11	594	320000
82	14235	SawyerW	6	8	1900	676	831	1445	3	6	484	138500
80	8816	ClearCr	6	7	1971	1010	1052	1052	3	6	440	155000
82	11105	CollgCr	5	5	1996	870	965	965	2	4	580	159000
	9337	CollgCr	7	5	1997	878	892	1692	3	8	513	191000
70	8750	CollgCr	6	5	1998	804	804	1682	3	7	523	200500
38	15240	CollgCr	5	8	1977	1026	1026	1026	3	5	308	150000
	10900	CollgCr	6	7	1977	689	689	1392	3	6	299	161750
75	10650	CollgCr	5	6	1976	894	894	894	3	5	308	128200
68	7480	CollgCr	5	6	1972	876	876	876	3	5	484	127000
80	10389	CollgCr	8	5	2003	1978	1978	1978	3	8	850	318000
	11423	CollgCr	8	5	2001	1581	1601	1601	3	6	670	272000
44	9548	CollgCr	7	6	2003	941	941	1829	3	7	613	237000
75	9375	CollgCr	7	5	1997	1040	1044	2098	4	9	621	240000
48	12137	CollgCr	7	5	1998	1649	1661	1661	3	6	598	224900
	4435	CollgCr	6	5	2003	848	848	848	1	4	420	143750
	4426	CollgCr	6	5	2004	848	848	848	1	3	420	143000
48	10635	CollgCr	8	5	2003	1657	1668	1668	3	8	502	232000
70	8400	CollgCr	7	5	2004	1473	1484	1484	3	7	606	213000
65	8773	CollgCr	7	5	2004	1414	1414	1414	3	6	494	185500
67	8777	Edwards	3	6	1945	0	640	640	2	5	240	84900
68	8842	Edwards	5	6	1954	381	992	992	3	6	319	155891
75	9825	Edwards	5	5	1965	0	1664	1664	4	8	0	100000
60	10044	Edwards	5	6	1968	1196	1196	1196	3	6	336	144000
89	11792	Edwards	4	5	1948	744	792	1120	2	5	480	64000
65	6305	Edwards	6	6	1975	1008	1096	1096	3	5	352	125200
94	7819	Edwards	6	5	1976	1029	1117	1117	3	6	672	107000
64	6410	Edwards	4	5	1958	960	960	960	3	5	0	90000
80	8546	Edwards	4	5	2003	1121	1121	1121	2	5	440	140000
52	8741	Edwards	6	4	1945	735	798	1487	3	7	220	113000
60	12180	Edwards	4	4	1941	672	672	924	2	5	280	80000
68	8562	Edwards	5	6	1957	1216	1526	1526	4	7	364	144500
67	4853	SWISU	5	6	1924	1107	1296	1296	2	5	260	104000
66	6858	SWISU	6	4	1915	806	841	1647	4	6	216	128000
45	8212	Edwards	3	3	1914	864	864	864	2	5	200	58500
50	5000	SWISU	5	6	1924	1026	1026	1691	3	6	308	127000
	7890	SWISU	6	6	1939	856	856	856	2	4	399	126000
60	7200	SWISU	4	6	1967	0	862	2650	6	10	0	160000
51	9839	SWISU	5	2	1931	894	894	1666	3	7	0	100000
50	9638	SWISU	6	7	1919	804	1699	2447	4	10	336	169000
78	10452	Crawfor	7	6	1941	1528	1225	2133	4	8	312	257500
78	15600	Crawfor	5	6	1950	1032	1102	2177	5	11	484	215000
66	9042	Crawfor	7	9	1941	1152	1188	2340	4	9	252	266500
100	17500	Crawfor	7	8	1959	1902	1902	1902	3	7	567	335000
85	19645	Crawfor	7	6	1994	423	896	1652	3	6	473	203135
35	3907	Blueste	8	6	1989	982	1034	1034	1	4	598	185000
35	3907	Blueste	8	5	1989	1191	1191	1191	2	5	531	162500
100	15602	Crawfor	7	8	1959	1501	1801	1801	1	6	484	289000
40	5436	IDOTRR	4	8	1922	796	796	1154	3	7	240	125500
58	8154	IDOTRR	2	5	1941	480	540	540	1	4	200	82000
50	9140	IDOTRR	6	5	1921	629	727	1107	2	5	625	110000
60	7500	IDOTRR	4	4	1920	698	698	1128	2	6	528	68400
66	8712	IDOTRR	4	7	1900	859	859	1178	2	7	384	102776
66	8712	IDOTRR	5	5	1952	540	1044	1044	2	4	504	55993
66	8712	IDOTRR	4	7	1896	756	952	952	3	5	330	50138
44	3811	Crawfor	8	5	2004	1594	1646	1646	2	5	525	246000
85	11050	Mitchel	8	5	1998	1049	1036	1916	3	8	741	254900
74	9620	Mitchel	6	7	1977	1243	1285	1285	3	6	473	190000
129	9196	Mitchel	7	5	2003	1560	1560	1560	3	7	573	201000
	12328	Mitchel	6	5	1976	1012	1034	1034	3	6	888	169900
	12760	Mitchel	6	5	1976	1958	2048	2048	5	9	776	170000
	57200	Timber	5	5	1948	747	1687	1687	3	7	572	160000
88	11896	Timber	7	5	2008	1336	1346	1346	3	6	660	220000
73	9803	Timber	7	5	2009	1214	1214	1214	2	6	520	179781
73	9802	Timber	5	5	2006	384	744	1444	3	7	400	174000
92	12003	Timber	8	5	2009	774	774	1968	4	8	680	269500
80	11316	Timber	7	5	2002	817	824	1894	4	8	510	214900
85	14191	Timber	8	5	2002	967	993	1908	4	9	431	202900
89	13214	Timber	9	5	2008	2002	2018	2018	3	10	746	378500
85	15300	Mitchel	5	5	1965	1068	1264	1264	2	7	528	169000
93	10114	Mitchel	5	5	2004	1430	1430	1430	3	7	624	173500
94	9400	Mitchel	6	5	1971	912	912	1824	4	8	0	139000
	11875	Mitchel	5	5	1999	1344	1344	1344	3	7	686	166500
	1974	MeadowV	4	5	1973	546	546	1092	3	6	286	83500
31	2394	MeadowV	5	6	1973	945	945	945	2	5	253	119500
36	2592	MeadowV	5	3	1976	536	536	1112	3	4	336	85000
21	1476	MeadowV	4	7	1970	546	546	1092	3	5	0	76000
21	1491	MeadowV	4	6	1972	630	630	630	1	3	0	75500
21	1900	MeadowV	4	4	1970	546	546	1092	3	5	0	88250
21	1890	MeadowV	4	6	1972	546	546	1092	3	5	286	85500
50	6953	Mitchel	5	7	1971	864	874	874	3	5	352	130000
	26142	Mitchel	5	7	1962	1188	1188	1188	3	6	312	157900
76	12887	Mitchel	5	7	1984	833	833	833	2	5	495	149900
70	7700	Mitchel	5	2	1985	1216	1216	2432	4	10	616	159000
63	10475	Mitchel	5	5	1991	624	624	1274	3	6	576	136000
68	10544	Mitchel	5	5	1969	864	864	1479	5	8	275	161000
76	9892	Mitchel	8	5	1994	1679	1803	1803	3	6	482	285000
74	12961	Mitchel	6	5	1993	1152	1152	1797	3	7	616	231000
74	13008	NAmes	6	5	1956	882	882	882	2	5	502	124500
85	10200	NAmes	6	5	1974	1434	1434	1434	4	7	528	157000
75	13860	NAmes	8	7	1972	1952	2000	2704	4	9	538	345000
88	10179	Gilbert	6	5	1997	945	945	1608	3	7	470	189500
	11792	Gilbert	8	5	2003	1008	1008	2283	4	9	632	270000
60	8400	Gilbert	7	5	1996	384	958	1628	3	7	390	189000
42	14892	Gilbert	9	5	2006	1746	1746	1746	3	7	758	377500
	8530	Gilbert	7	5	1995	384	804	1474	3	7	400	168500
28	7296	StoneBr	8	5	2004	2208	2522	2522	1	8	564	375000
40	5664	StoneBr	8	5	2000	1501	1659	1659	2	5	499	278000
61	7380	StoneBr	8	5	1998	1418	1478	1478	2	5	495	240000
57	8013	StoneBr	8	5	1995	1587	1734	1734	2	6	528	239500
57	8923	Gilbert	7	5	1998	384	751	1382	3	7	396	177500
74	10141	Gilbert	7	5	1998	832	885	1718	3	7	427	185000
60	7500	Gilbert	6	5	1998	952	952	1636	3	7	440	191000
59	7837	Gilbert	6	7	1993	799	799	1571	3	7	380	178000
	9765	Gilbert	6	8	1993	680	680	1470	3	6	420	185000
	8803	Gilbert	6	5	1994	707	707	1516	3	7	409	181316
58	7250	Gilbert	6	5	1993	1181	1190	1190	3	6	430	166000
	9636	Gilbert	6	5	1992	808	808	1593	3	7	389	178000
65	8125	Gilbert	6	5	1994	702	702	1481	3	6	343	174000
	9248	Gilbert	6	6	1992	1158	1167	1167	3	6	400	173000
	10762	Gilbert	7	5	1999	978	1005	1983	3	9	490	225000
99	11851	Gilbert	7	5	1990	1424	1442	1442	3	5	500	180500
	5814	StoneBr	8	5	1984	1220	1360	1360	1	4	565	187500
63	17423	StoneBr	9	5	2008	2216	2234	2234	1	9	1166	501837
80	11844	StoneBr	8	5	2008	2046	2046	2046	3	7	834	372500
124	16158	StoneBr	7	5	2005	1530	1530	1530	3	7	430	260000
85	11900	Gilbert	5	6	1977	1122	946	1934	3	6	567	185000
94	13005	NWAmes	7	7	1980	845	1153	2353	4	10	484	260000
48	17043	NWAmes	6	5	1979	1362	1586	1586	3	7	435	181000
85	11900	NWAmes	7	5	1977	1386	1411	1411	3	6	544	82500
	16635	NWAmes	6	7	1977	1602	1602	1602	3	8	529	215000
	13250	NWAmes	7	6	1978	832	1154	2050	4	8	529	154000
80	10928	NWAmes	6	6	1978	1427	1671	1671	3	7	484	200000
	12388	NWAmes	7	7	1980	1043	1539	2673	4	9	441	249000
	14115	NWAmes	7	5	1980	1372	1472	1472	3	6	588	187500
80	11088	NWAmes	6	5	1978	1140	1707	1707	3	7	479	184000
80	9600	NWAmes	8	5	1981	2524	2524	2524	4	9	542	278000
82	11880	NWAmes	7	5	1978	1271	1601	1601	3	7	478	157000
80	10400	NWAmes	7	5	1976	1090	1370	1370	3	6	479	152000
	10304	NWAmes	5	7	1976	780	1088	1868	4	9	484	197500
70	7000	Somerst	7	5	2003	926	1016	1884	3	7	581	240900
75	8004	Somerst	8	5	2009	832	832	1935	3	8	552	263435
	7500	Somerst	8	5	2000	1058	1058	1874	3	7	588	220000
	8470	Somerst	8	5	2002	972	972	1811	3	7	565	235000
	9373	NWAmes	5	7	1975	1621	1621	1621	3	7	478	213000
78	10140	NWAmes	6	6	1974	1116	1116	1116	3	6	528	167900
85	11050	NWAmes	7	5	1975	1176	1193	1193	3	5	506	158000
78	10140	NWAmes	6	5	1974	1064	1350	1350	3	7	478	165000
	10448	NWAmes	6	6	1972	689	1378	2119	3	7	583	158000
60	9000	NAmes	5	5	1974	896	896	1792	4	8	0	136000
	8750	NAmes	5	6	1970	1002	1002	1002	3	5	902	148500
61	7930	NAmes	6	8	1969	1026	1026	1026	3	5	440	156000
	7830	NAmes	5	5	1970	1180	1180	1180	2	6	477	128000
	8510	NAmes	5	7	1971	1043	1050	1050	3	6	336	143000
60	7038	NAmes	4	6	1970	864	864	864	3	5	576	76500
60	6960	NAmes	4	6	1970	864	864	864	3	5	660	120500
70	8120	NAmes	4	7	1970	864	864	864	3	5	463	124500
70	10500	NAmes	4	6	1971	864	864	864	2	4	576	97000
