year,age,maritalstatus,education,region,jobclass,health,health_ins,wage
2004,55,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2008,21,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,70.47601965
2004,58,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,94.07271475
2006,31,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,81.28325328
2006,25,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,81.28325328
2006,32,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,100.7642728
2009,40,1. Never Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,94.07271475
2003,44,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,99.6894637
2003,60,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,268.266292
2006,23,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,81.28325328
2003,63,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,113.5670896
2008,44,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,87.98103279
2005,47,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,128.6804882
2004,61,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,106.7239776
2009,55,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,66.04469423
2003,24,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,51.52195631
2007,42,3. Widowed,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,85.38394038
2006,25,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,76.89360252
2004,34,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,90.48191336
2009,53,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,68.07642829
2009,53,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,130.9821774
2009,70,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,127.901233
2004,47,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,131.2245938
2003,46,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2003,33,4. Divorced,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,76.89360252
2005,34,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,107.9039239
2006,22,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,81.28325328
2009,74,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2003,40,2. Married,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,98.59934386
2006,45,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,200.5432623
2009,43,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,156.5035109
2005,33,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,144.944365
2009,62,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.8843593
2008,37,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,121.4303138
2004,54,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,111.7208494
2005,34,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,68.74808773
2008,50,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.4757133
2006,46,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,95.23071257
2007,41,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,87.98103279
2003,63,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,64.27439722
2007,38,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,128.6804882
2006,35,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,114.4757133
2009,29,2. Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,112.6488963
2008,66,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,81.28325328
2004,37,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,75.89548482
2006,39,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,112.136923
2003,42,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,85.38394038
2007,51,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,94.07271475
2009,55,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,114.4757133
2006,51,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,176.9896505
2008,38,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,276.7784133
2005,49,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,101.8243521
2006,42,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,91.69922611
2009,43,5. Separated,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,86.69515483
2006,38,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,162.9464607
2008,59,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,139.2137881
2009,57,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,95.23071257
2005,25,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,66.96164432
2004,49,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,131.1943236
2004,41,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,90.48191336
2009,38,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,114.4757133
2003,61,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,79.1280845
2007,49,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,104.5917379
2008,52,4. Divorced,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,132.4878211
2007,43,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,141.7751723
2008,60,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,123.0896998
2005,46,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,134.7053751
2004,21,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,55.76739051
2009,61,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,106.9218141
2007,32,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.8843593
2004,58,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,87.98103279
2003,35,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,88.92960664
2004,26,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,81.28325328
2006,32,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,94.07271475
2003,37,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,106.9218141
2007,22,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,59.09706408
2005,51,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,65.11085372
2004,44,4. Divorced,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,120.5894365
2005,35,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,157.7005277
2004,60,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,129.4536446
2007,40,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,176.9896505
2004,35,1. Never Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,59.09706408
2007,35,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,94.07271475
2008,47,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,134.7053751
2003,43,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,81.28325328
2003,33,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,81.28325328
2003,60,4. Divorced,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,153.4575153
2008,38,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,136.8763676
2005,53,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,75.04315402
2004,55,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,130.2208324
2003,57,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,104.9215065
2005,64,2. Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,49.55533812
2007,43,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,123.9085676
2008,35,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,123.0896998
2008,54,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,78.15516141
2007,45,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,73.77574327
2003,58,4. Divorced,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,138.2991269
2007,48,2. Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,127.1157438
2003,46,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,68.74808773
2004,46,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,84.39111475
2009,55,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,85.38394038
2006,51,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,128.6804882
2005,49,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,70.47601965
2008,34,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,76.89360252
2007,53,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,148.4131591
2004,40,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,148.4131591
2009,50,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,175.9608831
2006,37,4. Divorced,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,98.59934386
2003,39,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,145.1436012
2004,52,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,99.6894637
2003,50,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,141.0888744
2006,48,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,123.0896998
2006,47,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,129.4536446
2005,27,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,111.7208494
2006,39,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,103.9024706
2009,44,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,118.8843593
2003,37,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,151.5914842
2006,52,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,101.8243521
2004,26,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2008,39,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,99.6894637
2006,25,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,99.6894637
2005,31,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,94.07271475
2004,58,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,152.2168068
2005,30,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,104.9215065
2004,27,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,65.11085372
2003,40,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,95.23071257
2006,55,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,173.8794933
2009,35,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,193.4110705
2008,48,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,114.4757133
2006,29,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,160.6424754
2005,25,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,89.49247952
2004,40,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,120.5894365
2006,27,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,73.77574327
2006,44,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,127.1157438
2006,49,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.8843593
2003,22,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,34.60741773
2007,45,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,114.4757133
2007,33,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,85.38394038
2007,63,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,318.3424301
2006,49,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,141.7751723
2005,39,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,130.9821774
2007,25,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,73.77574327
2005,29,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,130.9821774
2006,37,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,75.04315402
2008,35,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,154.9902603
2009,46,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,104.9215065
2008,58,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,73.11830692
2003,39,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,123.0896998
2008,41,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,157.7005277
2008,29,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,81.28325328
2009,37,2. Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,107.2560621
2009,62,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,78.98167452
2008,27,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,73.77574327
2003,37,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,94.07271475
2006,56,5. Separated,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,99.6894637
2004,36,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,176.9896505
2005,23,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,73.77574327
2003,46,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,99.6894637
2009,26,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,94.07271475
2006,43,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,95.23071257
2007,36,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,127.1157438
2003,54,5. Separated,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,99.6894637
2003,62,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,95.68881191
2006,40,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
2006,53,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.8843593
2007,48,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,176.9896505
2004,23,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,61.18752643
2009,34,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,81.28325328
2004,43,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,256.4006496
2006,55,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,81.28325328
2007,59,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,81.28325328
2007,60,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,55.76739051
2009,49,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,75.35567932
2006,45,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,130.9821774
2006,31,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,43.73511168
2004,34,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,114.4757133
2005,26,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.4757133
2007,22,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,81.28325328
2004,40,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,68.5721657
2009,41,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2006,36,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,97.49329405
2007,38,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,62.39835472
2003,48,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,97.49329405
2006,47,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,134.7053751
